Student Name,Student ID,Class Level,Preferred Email
"Baker, William",8315919.0,Sophomore,wbaker@university.edu
"Hall, Elizabeth",8315911.0,Freshman,ehall@university.edu
"Hall, James",8315900.0,Junior,jhall@university.edu
"Hall, John",8315901.0,Junior,jhall2@university.edu
"Hall, Mary",8315909.0,Sophomore,mhall@university.edu
"Harris, Linda",8315905.0,Sophomore,lharris@university.edu
"Jackson, Linda",8315927.0,Sophomore,ljackson@university.edu
"Lewis, Mary",8315907.0,Junior,mlewis@university.edu
"Moore, James",8315926.0,Sophomore,jmoore@university.edu
"Scott, Elizabeth",8315915.0,Senior,escott@university.edu
"Scott, Robert",8315917.0,Sophomore,rscott@university.edu
"Taylor, James",8315916.0,Freshman,jtaylor2@university.edu
"Taylor, James",8315910.0,Sophomore,jtaylor@university.edu
"Taylor, Linda",8315913.0,Junior,ltaylor@university.edu
"Taylor, Mary",8315914.0,Sophomore,mtaylor@university.edu
"Taylor, Robert",8315920.0,Junior,rtaylor@university.edu
"Taylor, William",8315918.0,Junior,wtaylor@university.edu
"Thomas, Mary",8315904.0,Freshman,mthomas@university.edu
"Thompson, Jennifer",8315908.0,Sophomore,jthompson@university.edu
"Thompson, John",8315924.0,Freshman,jthompson2@university.edu
"Thompson, Mary",8315906.0,Freshman,mthompson@university.edu
"Thompson, William",8315925.0,Senior,wthompson@university.edu
"Walker, Linda",8315923.0,Senior,lwalker@university.edu
"Young, Elizabeth",8315912.0,Junior,eyoung@university.edu
"Young, John",8315903.0,Freshman,jyoung@university.edu
"Young, Mary",8315902.0,Sophomore,myoung@university.edu
"Young, Michael",8315921.0,Junior,myoung2@university.edu
"Young, Robert",8315922.0,Freshman,ryoung@university.edu
